name,year,genus 
Homo sapiens,1758,Homo
Homo neanderthalensis,1864,Homo
Homo erectus,1892,Homo
Homo heidelbergensis,1908,Homo
Australopithecus africanus,1925,Australopithecus 
Paranthropus robustus,1938,Paranthropus
Australopithecus prometheus,1948,Australopithecus 
Zinjanthropus boisei,1959,Zinjanthropus
Homo habilis,1964,Homo
Paraustralopithecus aethiopicus,1968,Paraustralopithecus
Homo ergaster,1975,Homo
Australopithecus afarensis,1978,Australopithecus 
Homo daliensis,1981,Homo
Homo rudolfensis,1986,Homo
Austalopithecus ramidus,1994,Australopithecus 
Australopithecus anamensis,1995,Australopithecus 
Australopithecus bahrelghazali,1996,Australopithecus 
Homo antecessor,1997,Homo
Australopithecus garhi,1999,Australopithecus 
Kenyanthropus platyops,2001,Kenyanthropus
Orrorin tugenensis,2001,Orrorin
Sahelanthropus tchadensis,2002,Sahelanthropus
Homo georgicus,2002,Homo
Homo cepranensis,2003,Homo
Homo floresiensis,2004,Homo
Ardipithecus kadabba,2004,Ardipithecus
Australopithecus sediba,2010,Australopithecus 
Homo altaiensis,2011,Homo
Australopithecus deyiremeda,2015,Australopithecus 
Homo naledi,2015,Homo
Homo luzonensis,2019,Homo
Homo longi,2021,Homo
