year,decimal,
1758,0.1,
1864,0.3,
1892,0.5,
1894,0.6,
1895,0.7,
1896,0.9,
1898,1.0,
1899,1.3,
1901,1.4,
1902,1.5,
1903,1.7,
1905,1.8,
1908,2.4,
1909,2.9,
1910,3.1,
1911,3.7,
1915,4.0,
1916,4.3,
1917,4.4,
1920,4.6,
1921,5.1,
1922,5.3,
1924,5.4,
1925,5.6,
1927,5.7,
1928,6.0,
1929,6.1,
1931,6.4,
1932,7.2,
1934,7.4,
1935,7.7,
1936,8.3,
1937,8.4,
1938,8.8,
1940,9.1,
1941,9.2,
1942,9.3,
1943,9.6,
1944,9.7,
1945,9.9,
1948,10.2,
1949,10.5,
1950,10.7,
1952,10.8,
1954,10.9,
1955,11.0,
1956,11.2,
1957,11.5,
1959,11.6,
1961,11.7,
1963,11.8,
1964,12.0,
1965,12.1,
1968,12.2,
1975,12.3,
1978,12.4,
1981,12.5,
1984,12.6,
1986,12.7,
1994,12.8,
1995,12.9,
1996,13.0,
1997,13.1,
1999,13.2,
2001,13.4,
2002,13.6,
2003,13.7,
2004,13.9,
2010,14.0,
2011,14.1,
2015,14.3,
2019,14.4,
2021,14.5,
