,name,problem,problem_comment,remarks,authorship,year,type,paratypes,nomenclatural_status,rank_id,is_objective_synonym,is_subjective_synonym
6,Primates,FALSE,,"<p>The Order Primates was established by Linnaeus in the 10th edition of Systema Naturae, which is considered the starting publication (the root of discourse) for all modern taxonomy, systematics and classificaiton. In it Linnaeus establishes the following classificaiton of Order Primates with four genera, Homo, Simia, Lemur, Vespertilio.</p>","Linnaeus, 1758",1758,,,valid,5,FALSE,FALSE
8,Hominidae,FALSE,,"<p>Gray 1825 (p. 337) establishes the Family Hominidae within Order Primates Linnaeus, 1758&nbsp;and establishes the&nbsp;tribes:&nbsp;Hominina, Simiia, Simia, Presbytina, Cercopithecina, Cynocephalina.</p>",Gray 1825,1825,,,valid,6,FALSE,FALSE
10,Ardipithecus,FALSE,,"<p><em>Ardipithecus ramidus</em> is first described as <em>Australopitheucus ramidus</em> sp. nov. in White, Suwa Aswfaw, 1994, then a corrigum is published in Nature as White, Suwa Asfaw 1995. This one page article describes the genus <em>Ardipithecus</em>.</p>","White, Suwa & Asfaw, 1995",1995,,,valid,7,FALSE,FALSE
13,Australopithecus,FALSE,,,"Dart, 1925",1925,Taung,,valid,7,FALSE,FALSE
106,Proanthropus,TRUE,Needs publication and type specimen,,"Wilser, 1900",1900,,,valid,7,TRUE,FALSE
22,Homo,FALSE,,,"Linnaeus, 1758",1758,,,valid,7,FALSE,FALSE
37,Meganthropus,FALSE,,,"Weinert ,1950",1950,Garusi 1,,valid,7,FALSE,FALSE
39,Orrorin,FALSE,,,"Senut et al., 2001",2001,,,valid,7,FALSE,FALSE
35,Kenyanthropus,FALSE,,,"Leakey et al., 2001",2001,,,valid,7,FALSE,FALSE
41,Paranthropus,FALSE,,,Broom 1938,1938,,,valid,7,FALSE,FALSE
45,Paraustralopithecus,FALSE,,"<p>Arambourg and Coppens (1968) attributed the mandible Omo 18-1967-18 to a new genus and species, Paraustralopithecus aethiopicus. For many years it was considered a junior synonym of Paranthropus boisei, but the discovery of the black skull and subsequent revisions led to the re-accptance of this taxon though under the genus Paranthropus as Paranthropus aethiopicus.</p>",Arambourg & Coppens 1968,1968,Omo 18-1967-18,,valid,7,FALSE,FALSE
46,Pithecanthropus,FALSE,,,Dubois 1894,1894,Trinil 2,,valid,7,FALSE,FALSE
47,Plesianthropus,FALSE,,"<p>In 1936&nbsp;Broom attributed fossils from Sterkfontein to Australopithecus transvalensis Broom 1936. In 1938 erected a new genus for this species, Plesianthropus transvalensis Broom 1938.&nbsp;</p>",Broom 1938,1938,,,valid,7,FALSE,FALSE
44,Paranthropus,FALSE,,,"Broom, 1938",1938,TM 1517,,valid,7,FALSE,FALSE
48,Praeanthropus,FALSE,,"<p>The genus <em>Praeanthropus</em> was originally coined by Hennig (1948), but that name is invalid under the ICZN because Hennig (1948) did not provide a specific name. Senyurek (1955) argued that the Garusi I maxilla, attributed to <em>Meganthropus africanus</em> by Weinert (1950)&nbsp;belonged in a new genus and resurrected Hennig&#39;s <em>Praeanthropus</em>, now <em>Praeanthropus</em> Seny&uuml;rek, 1955. Stait et al. (1997) and Strait and Grine (2004) have argued to move <em>Australopithecus afarensis</em> to Praeantthropus in order to reduce the paraphyly of taxa in Australopithecus. However, a full implementation of this solutioin also requires minting new generic names for Au. anamensis, Au. garhi and other australopits, except Au. africanus, which is the type species in the genus.</p>",Senyürek 1955,1955,,,valid,7,FALSE,FALSE
49,Sahelanthropus,FALSE,,,"Brunet et al., 2002",2002,,,valid,7,FALSE,FALSE
51,Telanthropus,FALSE,,,Broom and Robinson 1949,1949,,,valid,7,FALSE,FALSE
53,Zinjanthropus,FALSE,,,"Leakey, 1959",1959,,,valid,7,FALSE,FALSE
141,Euranthropus,TRUE,Needs publication and type specimen,,"Arambourg, 1955",1955,,,invalid_gb,7,TRUE,FALSE
156,Archanthropus,TRUE,Needs publication,,"Ardl, 1915",1915,Neanderthal 1,,valid,7,TRUE,FALSE
158,Metanthropus,TRUE,Needs publication,,"Sollas, 1933",1933,Neanderthal 1,,invalid_gb,7,TRUE,FALSE
103,Homo javanensis primigenius,TRUE,Needs publication and type specimen,,"Houze, 1896",1896,,,valid,8,TRUE,FALSE
108,Hylobates gigas,TRUE,Needs publication and type specimen,,"Krause, 1909",1909,,,valid,8,TRUE,FALSE
32,Homo neanderthalensis,FALSE,,,"King, 1864",1864,Neanderthal 1,,valid,8,FALSE,FALSE
17,Australopithecus bahrelghazali,FALSE,,"<p>Bahr el Ghazal is classical arabic for River of the Gazelles. Holotype specimen is KT 12/H1, mandible with R i2-p4 and Lc-p4 (Note origianl anatomical description in 1995 Nature paper Fig 2 is incorrect and ommits left p4). The locality is variably referred to as either KT 12 or KT12 (with and without a space). Paratype KT 12/H2 is an upper right P3.</p>","Brunet et al., 1996",1996,KT 12/H1,,valid,8,FALSE,FALSE
24,Pithecanthropus erectus,FALSE,,,"Dubois, 1894",1894,Trinil 2,,valid,8,FALSE,FALSE
21,Australopithecus transvaalensis,FALSE,,<p>Broom 1936 erects the name Au. transvaalensis for first fossils discovered at Sterkfontein. Broom 1938 proposes Sterkfontein fossils belong in new genus and proposes Plesianthropus transvaalensis. In 1947 STS 5 is discovered and referred to Plesianthropus transvaalensis. Current concensus taxonomy treates Plesianthorpus transvaalensis as a junior synonym of Australopithecus&nbsp;africanus.</p>,"Broom, 1936",1936,TM 1511,,valid,8,FALSE,TRUE
38,Meganthropus africanus,TRUE,Needs type specimens linked. Need to add type to Fossil table.,"<p>Weinert used <em>Meganthropus africanus</em> for Garusi I. Later Johanson, White &amp; Coppens 1978 erected <em>Australopithecus afarensis</em> considering Weinert 1950 invalid, but Weinert 1950 was available. ICZN Opinion 1941 formally supresses <em>Meganthropus africanus</em> to avoid confusion with <em>Au. africanus</em>.</p>","Weinert, 1950",1950,Garusi 1,,suppressed,8,FALSE,FALSE
