name,year
Homo javanensis primigenius,1896
Hylobates gigas,1909
Homo neanderthalensis,1864
Australopithecus bahrelghazali,1996
Pithecanthropus erectus,1894
Australopithecus transvaalensis,1936
Meganthropus africanus,1950
Homo chapellensis,1911
Homo aurignacensis hauseri,1910
Homo priscus,1899
Homo sapiens shanidarensis,1957
Praehomo asiaticus javanensis,1932
Pithecanthropus robustus,1945
Pithecanthropus dubius,1949
Nippoanthropus akasiensis,1948
Homo heidelbergensis,1908
Australopithecus anamensis,1995
Protanthropus tabunensis,1944
Homo habilis,1964
Australopithecus garhi,1999
Homo homo var. neanderthalensis,1961
Homo primigenius africanus,1928
Homo breladensis,1911
Sahelanthropus tchadensis,2002
Homo pithecanthropus,1896
Homo spelaeus,1899
Homo neanderthalensis var. krapinensis,1902
Meganthropus palaeojavanicus,1945
Palaeanthropus njarasensis,1936
Africanthropus njarasensis,1938
Homo australopithecus africanus,1929
Praehomo asiaticus sinensis,1932
Homo primigenius asiaticus,1932
Pithecanthropus dubiosii,1901
Hylobates giganteus,1899
Homo trinilis,1922
Archanthropus primigenius,1920
Notanthropus eurafricanus recens,1911
Homo fossilis proto-aethiopicus,1915
Homo meridionalis proto-aethiopicus,1921
Homo laterti,1925
Homo sapiens cro-magnonensis,1921
Homo alpinus,1909
Palaeanthropus krapiniensis,1911
Palaeanthropus heidelbergensis,1908
Cyphanthropus rhodesiensis,1928
Homo galilensis,1931
Praanthropus,1948
Homo atlanticus,1956
Homo ternifinus,1956
Pithecanthropus sinensis,1931
Sinanthropus pekingensis,1932
Hemianthropus peii,1957
Homo grimaldii,1905
Sinanthropus pekinensis,1927
Homo calpicus,1911
Homo rhodesiensis,1921
Homo drennani,1931
Homo helmei,1936
Homo kanamensis,1935
Homo kiik-kobiensis,1941
Homo leakeyi,1940
Homo neanderthalensis var. aniensis,1935
Homo modjokertensis,1936
Homo saldanesis,1955
Homo soloensis,1932
Sinanthropus officinalis,1952
Sinanthropus lantianensis,1964
Hemanthropus peii,1957
Homo primigenius galilaeensis,1932
Homo semiprimigenius palestinus,1943
Europanthropus heidelbergensis,1950
Homo gibraltarensis,1924
Homo niger,1903
Homo grimaldicus,1922
Protanthropus heidelbergensis,1908
Pseudhomo heidelbergensis,1908
Praehomo heidelbergensis,1932
Praehomo europaeus,1934
Anthropus heidelbergensis,1937
Maueranthropus heidelbergensis,1943
Homo mousteriensis hauseri,1909
Homo naulettensis,1916
Homo naulettensis,1916
Homo mediterraneus fossilis,1915
Homo heringsdorfensis,1928
Homo primigenius,1903
Homo florisbadensis,1935
Tchadensis uxoris,1965
Homo murrensis,1936
Palaeanthropus palestinensis,1932
Homo sapiens Boskop,1921
Homo le mousteriensis,1915
Homo acheulensis moustier,1916
Palaeathropus europeus,1910
Homo marstoni,1940
Protanthropus atavus,1895
Homo europaeus primigenius,1898
Anthropus neanderthalensis,1864
Homo transprimigenius mousteriensis,1908
Telanthropus capensis,1949
Homo sapiens proto-sapiens,1943
Notanthropus eurafricanus archaius,1911
Homo steinheimensis,1936
Palaeanthropus palestinus,1934
Homo cepranensis,2003
Homo predmostensis,1920
Homo predmosti,1938
Homo priscus,1909
Homo swanscombensis,1942
Homo ehringsdorfensis,1940
Homo sapiens,1758
Homo floresiensis,2004
Zinjanthropus boisei,1959
Homo capensis,1917
Homo longi,2021
Homo altaiensis,2011
Homo daliensis,1981
Kenyanthropus platyops,2001
Homo antecessor,1997
Homo ergaster,1975
Orrorin tugenensis,2001
Paraustralopithecus aethiopicus,1968
Homo spyensis,1909
Australopithecus deyiremeda,2015
Anthropopithecus erectus,1892
Austalopithecus ramidus,1994
Australopithecus prometheus,1948
Atlanthropus mauritanicus,1954
Homo wadjakensis,1921
Plesianthropus transvaalensis,1938
Homo leakeyi,1963
Paranthropus crassidens,1949
Australopithecus africanus,1925
Homo antiquus,1984
Homo antiquus,1908
Ardipithecus kadabba,2004
Australopithecus afarensis,1978
Homo luzonensis,2019
Homo erectus,1892
Homo georgicus,2002
Homo naledi,2015
Homo rudolfensis,1986
Australopithecus sediba,2010
Paranthropus robustus,1938
