name,year
Homo sapiens,1758
Homo neanderthalensis,1864
Anthropus neanderthalensis,1864
Anthropopithecus erectus,1892
Homo erectus,1892
Pithecanthropus erectus,1894
Protanthropus atavus,1895
Homo javanensis primigenius,1896
Homo pithecanthropus,1896
Homo europaeus primigenius,1898
Homo priscus,1899
Homo spelaeus,1899
Hylobates giganteus,1899
Pithecanthropus dubiosii,1901
Homo neanderthalensis var. krapinensis,1902
Homo niger,1903
Homo primigenius,1903
Homo grimaldii,1905
Homo heidelbergensis,1908
Palaeanthropus heidelbergensis,1908
Protanthropus heidelbergensis,1908
Pseudhomo heidelbergensis,1908
Homo transprimigenius mousteriensis,1908
Homo antiquus,1908
Hylobates gigas,1909
Homo alpinus,1909
Homo mousteriensis hauseri,1909
Homo priscus,1909
Homo spyensis,1909
Homo aurignacensis hauseri,1910
Palaeathropus europeus,1910
Homo chapellensis,1911
Homo breladensis,1911
Notanthropus eurafricanus recens,1911
Palaeanthropus krapiniensis,1911
Homo calpicus,1911
Notanthropus eurafricanus archaius,1911
Homo fossilis proto-aethiopicus,1915
Homo mediterraneus fossilis,1915
Homo le mousteriensis,1915
Homo naulettensis,1916
Homo naulettensis,1916
Homo acheulensis moustier,1916
Homo capensis,1917
Archanthropus primigenius,1920
Homo predmostensis,1920
Homo meridionalis proto-aethiopicus,1921
Homo sapiens cro-magnonensis,1921
Homo rhodesiensis,1921
Homo sapiens Boskop,1921
Homo wadjakensis,1921
Homo trinilis,1922
Homo grimaldicus,1922
Homo gibraltarensis,1924
Homo laterti,1925
Australopithecus africanus,1925
Sinanthropus pekinensis,1927
Homo primigenius africanus,1928
Cyphanthropus rhodesiensis,1928
Homo heringsdorfensis,1928
Homo australopithecus africanus,1929
Homo galilensis,1931
Pithecanthropus sinensis,1931
Homo drennani,1931
Praehomo asiaticus javanensis,1932
Praehomo asiaticus sinensis,1932
Homo primigenius asiaticus,1932
Sinanthropus pekingensis,1932
Homo soloensis,1932
Homo primigenius galilaeensis,1932
Praehomo heidelbergensis,1932
Palaeanthropus palestinensis,1932
Praehomo europaeus,1934
Palaeanthropus palestinus,1934
Homo kanamensis,1935
Homo neanderthalensis var. aniensis,1935
Homo florisbadensis,1935
Australopithecus transvaalensis,1936
Palaeanthropus njarasensis,1936
Homo helmei,1936
Homo modjokertensis,1936
Homo murrensis,1936
Homo steinheimensis,1936
Anthropus heidelbergensis,1937
Africanthropus njarasensis,1938
Homo predmosti,1938
Plesianthropus transvaalensis,1938
Paranthropus robustus,1938
Homo leakeyi,1940
Homo marstoni,1940
Homo ehringsdorfensis,1940
Homo kiik-kobiensis,1941
Homo swanscombensis,1942
Homo semiprimigenius palestinus,1943
Maueranthropus heidelbergensis,1943
Homo sapiens proto-sapiens,1943
Protanthropus tabunensis,1944
Pithecanthropus robustus,1945
Meganthropus palaeojavanicus,1945
Nippoanthropus akasiensis,1948
Praanthropus,1948
Australopithecus prometheus,1948
Pithecanthropus dubius,1949
Telanthropus capensis,1949
Paranthropus crassidens,1949
Meganthropus africanus,1950
Europanthropus heidelbergensis,1950
Sinanthropus officinalis,1952
Atlanthropus mauritanicus,1954
Homo saldanesis,1955
Homo atlanticus,1956
Homo ternifinus,1956
Homo sapiens shanidarensis,1957
Hemianthropus peii,1957
Hemanthropus peii,1957
Zinjanthropus boisei,1959
Homo homo var. neanderthalensis,1961
Homo leakeyi,1963
Homo habilis,1964
Sinanthropus lantianensis,1964
Tchadensis uxoris,1965
Paraustralopithecus aethiopicus,1968
Homo ergaster,1975
Australopithecus afarensis,1978
Homo daliensis,1981
Homo antiquus,1984
Homo rudolfensis,1986
Austalopithecus ramidus,1994
Australopithecus anamensis,1995
Australopithecus bahrelghazali,1996
Homo antecessor,1997
Australopithecus garhi,1999
Kenyanthropus platyops,2001
Orrorin tugenensis,2001
Sahelanthropus tchadensis,2002
Homo georgicus,2002
Homo cepranensis,2003
Homo floresiensis,2004
Ardipithecus kadabba,2004
Australopithecus sediba,2010
Homo altaiensis,2011
Australopithecus deyiremeda,2015
Homo naledi,2015
Homo luzonensis,2019
Homo longi,2021
